priority_rank,admin2_name,admin1_name,admin2_pcode,priority_tier,priority_score,disaster_score,poverty_score,flood_extent_pct,chirps_mean_mm,floodscan_mean,MPI,Headcount Ratio,In Severe Poverty,ipc_phase3plus_pct,ipc_phase_label,population_2026,affected_population_proxy,recommended_beneficiaries
11,Mandera North,Mandera,KE009041,Very High,38.66941438911243,0.07376053786581706,0.8560945529290853,0.00033719373369222965,2.240580447434169,0.026862590209297512,0.4612,81.3359,55.9011,0.5,P3,-70458023936.0,-5197021742.481973,101
12,Mandera East,Mandera,KE009043,Very High,38.64368660154901,0.07333174140642652,0.8560945529290853,0.003372203425493665,0.0,0.001970588284380296,0.4612,81.3359,55.9011,0.5,P3,-28082933760.0,-2059370436.4221253,40
13,Lafey,Mandera,KE009044,Very High,37.88842487910327,0.0607440460323309,0.8560945529290853,0.0001988510155252085,2.8647413170855978,3.170731715948844e-05,0.4612,81.3359,55.9011,0.5,P3,-40443990016.0,-2456731591.2630353,57
14,Mandera South,Mandera,KE009042,Very High,37.741935069365894,0.05830254920337467,0.8560945529290853,0.0007047986654114142,1.733310594084513,0.010956249199807644,0.4612,81.3359,55.9011,0.5,P3,-63245901824.0,-3687397303.005564,88
15,Wajir North,Wajir,KE008033,Very High,37.25282688930616,0.1929759146390583,0.6418568002740664,0.002884515079682029,6.590883875739645,0.002024390227426358,0.3956,73.1124,42.8622,0.3,P3,-120172929024.0,-23190480893.261036,166
16,Turkana East,Turkana,KE023128,Very High,36.988620202180165,0.10536589225855833,0.7666666666666666,0.004054920315733126,0.0,0.022972445155298987,0.4968,79.5519,64.8855,0.3,P3,-128308527104.0,-13519342442.694376,176
17,Kajiado South,Kajiado,KE034187,Very High,34.66882034542329,0.49518263439700005,0.1239465570400822,0.015674468998150077,3.2277805621807394,0.11785375255427949,0.1108,22.512,10.6798,0.05,P2,-64197554176.0,-31789513998.715813,82
18,Galole,Tana River,KE004019,Very High,33.90565622349692,0.06277155713365017,0.7534840698869476,0.0011124302965102243,0.013099845451644705,0.04658678725913719,0.378,67.2861,44.4231,0.5,P3,-110808514560.0,-6955623002.597946,139
19,Garsen,Tana River,KE004018,Very High,33.55700988877476,0.056960784888280824,0.7534840698869476,0.001615129617648873,0.0,0.027121166908304104,0.378,67.2861,44.4231,0.5,P3,-181288665088.0,-10326344654.761154,225
20,Tarbaj,Wajir,KE008035,Very High,32.626075011816134,0.11586338334755798,0.6418568002740664,0.0010848800552147508,4.59486840128416,0.0026293479554031205,0.3956,73.1124,42.8622,0.3,P3,-86450880512.0,-10016491509.495787,104
21,Bura,Tana River,KE004020,Very High,32.508769513920534,0.03949011197404375,0.7534840698869476,0.0012519721572819733,0.0,0.015433312943263083,0.378,67.2861,44.4231,0.5,P3,-154439876608.0,-6098848020.50742,186
22,Loima,Turkana,KE023126,Very High,31.82624577433938,0.01932631846121194,0.7666666666666666,0.0009089761379840852,0.0,3.4782610347737435e-06,0.4968,79.5519,64.8855,0.3,P3,-104354619392.0,-2016790607.268355,123
23,Isiolo North,Isiolo,KE011049,Very High,31.247291834943923,0.3012746652175477,0.3292702980472765,0.010586036730248159,1.842081092926393,0.04783701501498565,0.1962,39.4936,20.3589,0.2,P3,-174462959616.0,-52561269751.17294,202
24,Turkana South,Turkana,KE023127,Very High,30.928154779050566,0.004358135206398355,0.7666666666666666,0.0002023459692900431,0.0,6.781608915363236e-05,0.4968,79.5519,64.8855,0.3,P3,-81123311616.0,-353546360.4133142,93
25,Isiolo South,Isiolo,KE011050,Very High,30.140247944662423,0.2828239337128561,0.3292702980472765,0.012717013910961056,0.0,0.01495970228443975,0.1962,39.4936,20.3589,0.2,P3,-115956097024.0,-32795159498.317284,129
26,North Horr,Marsabit,KE010046,Very High,30.102815588036098,0.13631905162428543,0.5480918122644742,0.005562960438910116,0.06976894905426072,0.019998239345304956,0.3466,63.5606,39.9074,0.25,P3,-470804201472.0,-64179582245.392044,524
27,Wajir South,Wajir,KE008038,Very High,29.66553827578835,0.06652110441376159,0.6418568002740664,0.0013844944505340847,0.8144571653554137,0.025206666834214155,0.3956,73.1124,42.8622,0.3,P3,-246121955328.0,-16372304288.893055,270
28,Likoni,Mombasa,KE001005,Very High,29.233418171870674,0.40865791734435597,0.11784857828023296,0.005111283132110661,15.213619232177734,0.0,0.0518,12.8866,2.2801,0.15,,-69166720.0,-28265527.744740214,0
